epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3556.51,1.23479,1.54017,1.70955,0.80011,0.69159,0.74221,0.42063,1.58834,1.12378,2.0621,0.004654,0.004654,0.004654
56,3620.85,1.22548,1.5313,1.70526,0.77869,0.69657,0.7426,0.42627,1.5769,1.11896,2.0453,0.004555,0.004555,0.004555
57,3685.08,1.22885,1.51675,1.7062,0.7928,0.69722,0.74561,0.42685,1.58016,1.105,2.04535,0.004456,0.004456,0.004456
58,3749.44,1.22225,1.50868,1.70199,0.79221,0.68087,0.73899,0.42311,1.58353,1.11557,2.06032,0.004357,0.004357,0.004357
59,3813.79,1.21773,1.51563,1.70182,0.78013,0.70321,0.74715,0.42955,1.58015,1.11661,2.05705,0.004258,0.004258,0.004258
60,3878.16,1.22007,1.5062,1.69632,0.81006,0.69196,0.74807,0.43346,1.57329,1.09314,2.04787,0.004159,0.004159,0.004159
61,3942.49,1.21448,1.49232,1.69619,0.81448,0.69138,0.75052,0.4327,1.57267,1.08266,2.04305,0.00406,0.00406,0.00406
62,4006.78,1.21441,1.48042,1.69595,0.80256,0.70158,0.75354,0.43411,1.57034,1.07139,2.04328,0.003961,0.003961,0.003961
63,4071.13,1.20303,1.47405,1.68576,0.8094,0.69388,0.74817,0.43386,1.57168,1.07275,2.03959,0.003862,0.003862,0.003862
64,4135.44,1.20702,1.46224,1.68876,0.80092,0.70612,0.74825,0.43344,1.57356,1.0809,2.04244,0.003763,0.003763,0.003763
65,4199.93,1.19941,1.43671,1.67533,0.79254,0.69706,0.7459,0.43177,1.57586,1.07722,2.04447,0.003664,0.003664,0.003664
66,4264.28,1.20153,1.44031,1.67924,0.80583,0.68673,0.74146,0.43242,1.57248,1.0784,2.04059,0.003565,0.003565,0.003565
67,4328.6,1.20258,1.4489,1.67946,0.8086,0.68961,0.74004,0.43065,1.57068,1.0794,2.03962,0.003466,0.003466,0.003466
68,4392.9,1.19548,1.42047,1.67463,0.81776,0.68713,0.73973,0.43126,1.56997,1.08018,2.04344,0.003367,0.003367,0.003367
69,4457.23,1.19023,1.41439,1.67312,0.81308,0.6966,0.74409,0.43216,1.56805,1.0738,2.04055,0.003268,0.003268,0.003268
70,4521.55,1.18974,1.39911,1.67015,0.79568,0.70464,0.7445,0.43314,1.56727,1.08203,2.03959,0.003169,0.003169,0.003169
71,4585.75,1.18448,1.40259,1.66534,0.79212,0.70829,0.74406,0.43471,1.5652,1.08261,2.03975,0.00307,0.00307,0.00307
72,4650.08,1.18898,1.38492,1.66561,0.80387,0.7032,0.7478,0.43498,1.56403,1.08102,2.03991,0.002971,0.002971,0.002971
73,4714.47,1.17778,1.37779,1.66354,0.80553,0.70212,0.74878,0.43655,1.56466,1.08161,2.04158,0.002872,0.002872,0.002872
74,4778.71,1.18156,1.37326,1.65993,0.81074,0.69263,0.75019,0.43676,1.56608,1.07694,2.04232,0.002773,0.002773,0.002773
75,4843.05,1.17327,1.36151,1.65699,0.81809,0.69409,0.75161,0.43905,1.56548,1.07698,2.04077,0.002674,0.002674,0.002674
76,4907.42,1.17245,1.35809,1.65457,0.81136,0.69988,0.75187,0.44093,1.56338,1.07206,2.03889,0.002575,0.002575,0.002575
77,4971.72,1.16439,1.34393,1.6507,0.80565,0.70169,0.75025,0.43968,1.56298,1.07035,2.03786,0.002476,0.002476,0.002476
78,5036.06,1.16102,1.3414,1.64684,0.81001,0.69972,0.75058,0.43954,1.56265,1.06968,2.03572,0.002377,0.002377,0.002377
79,5100.44,1.15291,1.33077,1.64294,0.8099,0.70425,0.75391,0.4399,1.56488,1.07287,2.03663,0.002278,0.002278,0.002278
80,5164.77,1.15995,1.32309,1.64035,0.81075,0.69883,0.75235,0.4389,1.56784,1.07829,2.03811,0.002179,0.002179,0.002179
81,5229.14,1.15433,1.32682,1.63709,0.80789,0.69986,0.7512,0.43884,1.57027,1.07823,2.03968,0.00208,0.00208,0.00208
82,5293.45,1.14276,1.30401,1.63231,0.81609,0.69539,0.75255,0.43768,1.57375,1.07998,2.04226,0.001981,0.001981,0.001981
83,5357.73,1.14209,1.31649,1.62995,0.82718,0.69373,0.75222,0.43664,1.57661,1.0812,2.0453,0.001882,0.001882,0.001882
84,5422.02,1.14191,1.29226,1.62674,0.82725,0.69279,0.75119,0.43696,1.57886,1.08087,2.0481,0.001783,0.001783,0.001783
85,5486.36,1.13627,1.28509,1.62252,0.82251,0.69689,0.75183,0.43684,1.58168,1.08257,2.04995,0.001684,0.001684,0.001684
86,5550.67,1.1419,1.29118,1.62523,0.82659,0.6994,0.75286,0.43652,1.58307,1.0814,2.05113,0.001585,0.001585,0.001585
87,5614.99,1.13362,1.28103,1.62099,0.82783,0.69269,0.75157,0.43623,1.5839,1.08193,2.05271,0.001486,0.001486,0.001486
88,5679.21,1.12976,1.26757,1.6167,0.82359,0.69561,0.75474,0.4372,1.5852,1.0821,2.05417,0.001387,0.001387,0.001387
89,5743.63,1.12759,1.25283,1.613,0.8262,0.69271,0.75393,0.43634,1.587,1.08066,2.05602,0.001288,0.001288,0.001288
90,5808,1.12416,1.25957,1.6109,0.84582,0.68419,0.75498,0.4353,1.59,1.08193,2.05892,0.001189,0.001189,0.001189
91,5872.76,0.92675,0.6665,1.60537,0.83955,0.6879,0.75396,0.43516,1.59248,1.08301,2.06182,0.00109,0.00109,0.00109
92,5936.7,0.90441,0.60409,1.58207,0.83991,0.6899,0.75433,0.4343,1.59373,1.0843,2.06394,0.000991,0.000991,0.000991
93,6000.58,0.90127,0.59525,1.57562,0.83688,0.68951,0.75424,0.43367,1.59501,1.08558,2.06499,0.000892,0.000892,0.000892
94,6064.41,0.88758,0.5846,1.56825,0.8439,0.68795,0.75453,0.43417,1.59576,1.08573,2.06593,0.000793,0.000793,0.000793
95,6128.22,0.87576,0.56905,1.55406,0.84314,0.68437,0.75127,0.43458,1.5952,1.08409,2.06708,0.000694,0.000694,0.000694
96,6192.02,0.88079,0.56243,1.55131,0.84665,0.68393,0.75124,0.43511,1.59585,1.0842,2.06779,0.000595,0.000595,0.000595
97,6255.98,0.86392,0.55463,1.54054,0.84306,0.68421,0.75014,0.43512,1.59578,1.08455,2.06843,0.000496,0.000496,0.000496
98,6319.93,0.85739,0.54577,1.53649,0.85221,0.68239,0.74984,0.43425,1.59609,1.08406,2.06966,0.000397,0.000397,0.000397
99,6383.79,0.85398,0.53925,1.52952,0.85164,0.68085,0.74974,0.43442,1.59642,1.08343,2.07111,0.000298,0.000298,0.000298
100,6447.67,0.85072,0.53789,1.52938,0.84996,0.68102,0.74908,0.43366,1.59643,1.08369,2.0719,0.000199,0.000199,0.000199
